city,university,course,duration_min_years,duration_max_years,annual_tuition_aud,scholarship_percent,remaining_tuition_min_aud,remaining_tuition_max_aud,monthly_living_cost_aud,living_cost_min_aud,living_cost_max_aud,total_cost_min_aud,total_cost_max_aud,tuition_available
Brisbane,James Cook University,Master of Business Administration,1.5,1.5,33133.0,0,49699.5,49699.5,2420.99,43577.82,43577.82,93277.32,93277.32,True
Brisbane,Southern Cross University,Master of Business Administration,2.0,2.0,26000.0,0,52000.0,52000.0,2420.99,58103.76,58103.76,110103.76,110103.76,True
Adelaide,Adelaide University,Master of Data Science,2.0,2.0,57100.0,0,114200.0,114200.0,2443.99,58655.76,58655.76,172855.76,172855.76,True
Adelaide,Flinders University,Master of Data Science,1.0,2.0,42900.0,0,42900.0,85800.0,2443.99,29327.88,58655.76,72227.88,144455.76,True
Adelaide,Flinders University,Master of Information Technology,2.0,2.0,42900.0,0,85800.0,85800.0,2443.99,58655.76,58655.76,144455.76,144455.76,True
Perth,The University of Western Australia,Master of Data Science,1.5,2.0,50700.0,0,76050.0,101400.0,2825.61,50860.98,67814.64,126910.98,169214.64,True
Perth,Edith Cowan University,Master of Data Science,2.0,2.0,42400.0,0,84800.0,84800.0,2825.61,67814.64,67814.64,152614.64,152614.64,True
Perth,The University of Western Australia,Master of Information Technology,1.5,2.0,50700.0,0,76050.0,101400.0,2825.61,50860.98,67814.64,126910.98,169214.64,True
Perth,Murdoch University,Master of Information Technology,2.0,2.0,36730.0,0,73460.0,73460.0,2825.61,67814.64,67814.64,141274.64,141274.64,True
Perth,The University of Western Australia,Master of Business Administration,16.0,16.0,38000.0,0,608000.0,608000.0,2825.61,542517.12,542517.12,1150517.12,1150517.12,True
Perth,Curtin University,Master of Business Administration,1.5,1.5,42366.0,0,63549.0,63549.0,2825.61,50860.98,50860.98,114409.98,114409.98,True
Perth,Murdoch University,Master of Business Administration,1.0,1.0,58410.0,0,58410.0,58410.0,2825.61,33907.32,33907.32,92317.32,92317.32,True
Perth,Edith Cowan University,Master of Business Administration,2.0,2.0,40650.0,0,81300.0,81300.0,2825.61,67814.64,67814.64,149114.64,149114.64,True
Perth,University of Notre Dame Australia,Master of Business Administration,2.0,2.0,34356.0,0,68712.0,68712.0,2825.61,67814.64,67814.64,136526.64,136526.64,True
Canberra,University of Canberra,Master of Data Science,2.0,2.0,42000.0,0,84000.0,84000.0,2647.37,63536.88,63536.88,147536.88,147536.88,True
Canberra,University of Canberra,Master of Business Administration,1.5,1.5,41500.0,0,62250.0,62250.0,2647.37,47652.66,47652.66,109902.66,109902.66,True
Darwin,Charles Darwin University,Master of Data Science,2.0,2.0,36440.0,0,72880.0,72880.0,2922.6,70142.4,70142.4,143022.4,143022.4,True
Darwin,Charles Darwin University,Master of Business Administration,1.5,1.5,38192.0,0,57288.0,57288.0,2922.6,52606.8,52606.8,109894.8,109894.8,True
Gold Coast,Griffith University,Master of Data Science,2.0,2.0,,0,,,2644.19,63460.56,63460.56,,,False
Gold Coast,Griffith University,Master of Information Technology,1.5,2.0,,0,,,2644.19,47595.42,63460.56,,,False
Gold Coast,Southern Cross University,Master of Information Technology,2.0,2.0,26000.0,0,52000.0,52000.0,2644.19,63460.56,63460.56,115460.56,115460.56,True
Gold Coast,Bond University,Master of Business Administration,16.0,16.0,81430.0,0,1302880.0,1302880.0,2644.19,507684.48,507684.48,1810564.48,1810564.48,True
Gold Coast,Southern Cross University,Master of Business Administration,2.0,2.0,26000.0,0,52000.0,52000.0,2644.19,63460.56,63460.56,115460.56,115460.56,True
